plate,position,raw_sample,sample
1,A1,C90,S1
1,A3,C93,S3
1,A4,C111,S4
1,A5,M64,S5
1,A6,C73,S6
1,A7,H72,S7
1,A8,H69,S8
1,A9,C110,S9
1,A11,H63,S11
1,A12,M69,S12
1,B1,C87,S13
1,B2,C94,S14
1,B3,C107,S15
1,B5,C102,S17
1,B6,C98,S18
1,B8,Y73,S20
1,B9,C99,S21
1,B10,M75,S22
1,B11,C61,S23
1,B12,H61,S24
1,C1,C66,S25
1,C2,C78,S26
1,C3,H66,S27
1,C4,H62,S28
1,C5,C82,S29
1,C7,Y71,S31
1,C9,C74,S33
1,C10,C83,S34
1,C11,H70,S35
1,D2,C84,S38
1,D3,Y68,S39
1,D4,C100,S40
1,D5,M68,S41
1,D6,C88,S42
1,D7,C115,S43
1,D8,C75,S44
1,D10,C63,S46
1,D11,Y69,S47
1,D12,M70,S48
1,E1,QC,S49
1,E2,M72,S50
1,E3,Y75,S51
1,E4,C65,S52
1,E5,C64,S53
1,E6,C103,S54
1,E7,C112,S55
1,E8,M73,S56
1,E9,C114,S57
1,E10,C104,S58
1,F2,C101,S62
1,F3,QC,S63
1,F4,C109,S64
1,F5,M67,S65
1,F6,C85,S66
1,F7,Y70,S67
1,F8,C96,S68
1,F9,C95,S69
1,F10,C69,S70
1,F11,C62,S71
1,F12,Y77,S72
1,G1,H65,S73
1,G2,C106,S74
1,G4,C92,S76
1,G6,H74,S78
1,G7,C68,S79
1,G8,C70,S80
1,G11,C105,S83
1,G12,M71,S84
1,H2,Y65,S86
1,H3,C86,S87
1,H4,C113,S88
1,H5,C89,S89
1,H6,Y63,S90
1,H7,Y74,S91
1,H8,QC,S92
1,H9,M61,S93
1,H10,C71,S94
1,H11,H71,S95
1,H12,C108,S96
2,A1,C141,S97
2,A2,C151,S98
2,A3,C117,S99
2,A4,M79,S100
2,A5,M88,S101
2,A8,C145,S104
2,A9,M86,S105
2,A10,QC,S106
2,A11,QC,S107
2,A12,C131,S108
2,B1,H88,S109
2,B2,C163,S110
2,B3,C148,S111
2,B4,C155,S112
2,B5,C138,S113
2,B6,C157,S114
2,B8,Y82,S116
2,B9,M89,S117
2,B11,C126,S119
2,B12,Y89,S120
2,C1,H81,S121
2,C2,C139,S122
2,C4,C136,S124
2,C5,Y79,S125
2,C6,Y88,S126
2,C8,C119,S128
2,C9,H82,S129
2,C10,C150,S130
2,C11,C154,S131
2,C12,C149,S132
2,D1,Y80,S133
2,D2,C156,S134
2,D3,C122,S135
2,D4,C144,S136
2,D5,M81,S137
2,D6,C153,S138
2,D7,Y83,S139
2,D8,H80,S140
2,D10,H77,S142
2,D11,C159,S143
2,D12,C160,S144
2,E1,C125,S145
2,E2,Y85,S146
2,E3,H79,S147
2,E4,C142,S148
2,E5,C162,S149
2,E6,H85,S150
2,E7,C133,S151
2,E8,H91,S152
2,E9,C135,S153
2,E12,QC,S156
2,F1,C116,S157
2,F2,C120,S158
2,F3,C132,S159
2,F4,H78,S160
2,F5,M90,S161
2,F6,M78,S162
2,F7,Y91,S163
2,F9,C127,S165
2,F10,Y78,S166
2,F11,Y86,S167
2,F12,C134,S168
2,G1,C123,S169
2,G2,C152,S170
2,G3,C121,S171
2,G4,C146,S172
2,G5,C137,S173
2,G6,C164,S174
2,G7,C147,S175
2,G8,C140,S176
2,G9,Y92,S177
2,G10,C118,S178
2,G11,M92,S179
2,G12,C161,S180
2,H2,Y81,S182
2,H3,M85,S183
2,H4,C143,S184
2,H5,M80,S185
2,H6,H83,S186
2,H7,C158,S187
2,H8,C128,S188
2,H9,C124,S189
2,H10,Y84,S190
2,H11,H92,S191
2,H12,Y90,S192
3,A1,H93,S193
3,A3,C175,S195
3,A4,Y104,S196
3,A6,H155,S198
3,A7,C213,S199
3,A8,C172,S200
3,A9,C182,S201
3,A10,C192,S202
3,A11,C203,S203
3,B1,C176,S205
3,B2,M109,S206
3,B3,C209,S207
3,B4,H153,S208
3,B5,C216,S209
3,B6,C173,S210
3,B7,C211,S211
3,B10,M100,S214
3,B11,C185,S215
3,B12,C165,S216
3,C1,C168,S217
3,C2,M110,S218
3,C4,C190,S220
3,C5,C201,S221
3,C7,QC,S223
3,C10,H98,S226
3,C11,C169,S227
3,C12,M101,S228
3,D2,M96,S230
3,D4,Y93,S232
3,D5,QC,S233
3,D6,C208,S234
3,D7,Y100,S235
3,D8,M106,S236
3,D9,Y96,S237
3,D10,C186,S238
3,D12,H94,S240
3,E1,C205,S241
3,E4,C206,S244
3,E6,C187,S246
3,E7,M108,S247
3,E8,C177,S248
3,E9,C207,S249
3,E10,C214,S250
3,E11,Y95,S251
3,E12,C184,S252
3,F1,C178,S253
3,F2,C215,S254
3,F4,M95,S256
3,F5,M104,S257
3,F6,Y101,S258
3,F7,Y107,S259
3,F8,C210,S260
3,F9,C167,S261
3,F10,M98,S262
3,F11,H97,S263
3,F12,C183,S264
3,G1,Y98,S265
3,G2,C180,S266
3,G3,M102,S267
3,G5,Y108,S269
3,G6,Y102,S270
3,G7,H95,S271
3,G8,C189,S272
3,G9,C202,S273
3,G10,C212,S274
3,G11,C181,S275
3,G12,C204,S276
3,H1,C191,S277
3,H2,H99,S278
3,H3,C174,S279
3,H4,H152,S280
3,H7,C171,S283
3,H8,QC,S284
3,H9,C170,S285
3,H10,M103,S286
3,H11,C188,S287
3,H12,H156,S288
4,A1,C265,S289
4,A2,Y111,S290
4,A3,C245,S291
4,A4,M113,S292
4,A5,Y116,S293
4,B1,C234,S301
4,B2,C253,S302
4,B3,C230,S303
4,B4,QC,S304
4,B5,Y109,S305
4,B7,C260,S307
4,B8,Y113,S308
4,B9,Y118,S309
4,B10,H165,S310
4,B12,C252,S312
4,C1,C257,S313
4,C2,H160,S314
4,C3,C264,S315
4,C4,C218,S316
4,C5,C220,S317
4,C6,M111,S318
4,C7,C258,S319
4,C8,H169,S320
4,C9,H168,S321
4,C11,C249,S323
4,C12,C237,S324
4,D1,C262,S325
4,D3,M122,S327
4,D4,Y120,S328
4,D5,C247,S329
4,D6,Y123,S330
4,D7,C227,S331
4,D8,C241,S332
4,D9,C251,S333
4,D10,Y115,S334
4,D11,H166,S335
4,D12,C226,S336
4,E1,C235,S337
4,E2,Y110,S338
4,E3,M116,S339
4,E4,C223,S340
4,E5,M114,S341
4,E6,C246,S342
4,E7,H171,S343
4,E8,C236,S344
4,E9,Y119,S345
4,E10,H162,S346
4,E11,C243,S347
4,F2,C242,S350
4,F3,H170,S351
4,F4,C244,S352
4,F5,C233,S353
4,F6,C248,S354
4,F7,C259,S355
4,F9,M119,S357
4,G1,H161,S361
4,G2,C232,S362
4,G3,C263,S363
4,G4,QC,S364
4,G5,C228,S365
4,G6,C224,S366
4,G7,C254,S367
4,G9,C240,S369
4,H1,C255,S373
4,H2,QC,S374
4,H3,C261,S375
4,H4,C229,S376
4,H8,H167,S380
4,H9,Y114,S381
5,A1,C269,S385
5,A3,M137,S387
5,A4,M134,S388
5,A6,M207,S390
5,A7,Y137,S391
5,A8,C354,S392
5,A9,C294,S393
5,A10,QC,S394
5,A11,C329,S395
5,A12,C324,S396
5,B1,C301,S397
5,B2,C304,S398
5,B3,M215,S399
5,B4,C349,S400
5,B5,C290,S401
5,B6,QC,S402
5,B8,C283,S404
5,B9,C327,S405
5,B10,Y138,S406
5,B11,C319,S407
5,B12,C267,S408
5,C1,C359,S409
5,C2,Y125,S410
5,C4,C275,S412
5,C5,M143,S413
5,C6,C345,S414
5,C7,C284,S415
5,C8,C270,S416
5,C9,Y126,S417
5,C10,C342,S418
5,C11,M150,S419
5,C12,C282,S420
5,D1,C340,S421
5,D2,C361,S422
5,D3,C334,S423
5,D4,C307,S424
5,D5,C355,S425
5,D6,Y156,S426
5,D7,C303,S427
5,D8,C308,S428
5,D9,M157,S429
5,D10,C320,S430
5,D12,C298,S432
5,E1,Y143,S433
5,E2,M135,S434
5,E3,C306,S435
5,E4,C279,S436
5,E6,M127,S438
5,E7,M151,S439
5,E8,C296,S440
5,E10,C356,S442
5,E11,M158,S443
5,F1,Y150,S445
5,F2,Y153,S446
5,F3,Y133,S447
5,F4,C286,S448
5,F5,C310,S449
5,F6,C332,S450
5,F8,M139,S452
5,F9,Y130,S453
5,F10,M208,S454
5,F11,C311,S455
5,F12,M156,S456
5,G2,C333,S458
5,G3,Y140,S459
5,G4,M144,S460
5,G5,C325,S461
5,G6,C350,S462
5,G8,C299,S464
5,G10,M214,S466
5,G11,M213,S467
5,H1,QC,S469
5,H2,C343,S470
5,H3,C352,S471
5,H4,Y147,S472
5,H5,C336,S473
5,H6,Y135,S474
5,H7,Y134,S475
5,H8,Y141,S476
5,H9,M146,S477
5,H10,C317,S478
5,H11,C268,S479
5,H12,M211,S480
6,A1,M161,S481
6,A2,C362,S482
6,A4,Y155,S484
6,A5,M163,S485
6,A6,C313,S486
6,A7,C318,S487
6,A8,C344,S488
6,A9,C309,S489
6,A10,C273,S490
6,A11,C331,S491
6,A12,Y139,S492
6,B1,M141,S493
6,B2,Y124,S494
6,B3,C357,S495
6,B4,M154,S496
6,B5,C302,S497
6,B6,C323,S498
6,B7,C300,S499
6,B8,C335,S500
6,B9,C348,S501
6,B11,M216,S503
6,B12,M218,S504
6,C3,C266,S507
6,C4,C291,S508
6,C5,Y132,S509
6,C6,C314,S510
6,C7,M217,S511
6,C9,C341,S513
6,C10,C280,S514
6,C11,C276,S515
6,C12,Y162,S516
6,D1,Y127,S517
6,D2,Y158,S518
6,D3,C293,S519
6,D4,Y161,S520
6,D5,M140,S521
6,D6,C292,S522
6,D7,C346,S523
6,D8,C278,S524
6,D9,C358,S525
6,D11,M149,S527
6,D12,Y163,S528
6,E1,QC,S529
6,E2,C312,S530
6,E3,C295,S531
6,E4,C351,S532
6,E5,C274,S533
6,E6,C272,S534
6,E7,C297,S535
6,E8,QC,S536
6,E9,Y168,S537
6,E10,Y131,S538
6,E11,M210,S539
6,E12,C277,S540
6,F1,M212,S541
6,F2,C326,S542
6,F3,M155,S543
6,F4,Y146,S544
6,F6,C322,S546
6,F7,C338,S547
6,F8,C316,S548
6,F9,C305,S549
6,F10,C337,S550
6,F11,Y172,S551
6,F12,C271,S552
6,G1,Y166,S553
6,G3,C321,S555
6,G4,Y148,S556
6,G6,C330,S558
6,G7,Y164,S559
6,G8,C339,S560
6,G9,C287,S561
6,G10,Y159,S562
6,G11,M138,S563
6,G12,Y151,S564
6,H2,C360,S566
6,H3,C315,S567
6,H5,C289,S569
6,H6,M147,S570
6,H7,Y128,S571
6,H8,M130,S572
6,H9,QC,S573
6,H10,M132,S574
6,H11,C353,S575
6,H12,C347,S576
7,A1,M20,S577
7,A2,C35,S578
7,A3,C10,S579
7,A5,H48,S581
7,A8,Y29,S584
7,A9,M25,S585
7,A10,C11,S586
7,A11,M24,S587
7,A12,C13,S588
7,B2,M15,S590
7,B4,H32,S592
7,B5,H40,S593
7,B6,Y30,S594
7,B7,H9,S595
7,B9,C21,S597
7,B10,Y38,S598
7,B12,C16,S600
7,C1,Y13,S601
7,C2,Y42,S602
7,C3,M23,S603
7,C4,C27,S604
7,C5,Y7,S605
7,C6,C6,S606
7,C10,QC,S610
7,C11,Y41,S611
7,C12,C36,S612
7,D2,Y15,S614
7,D4,H51,S616
7,D5,M18,S617
7,D6,M35,S618
7,D7,Y3,S619
7,D9,C20,S621
7,D10,C28,S622
7,D11,Y37,S623
7,D12,Y24,S624
7,E1,C44,S625
7,E2,H11,S626
7,E3,Y2,S627
7,E4,C12,S628
7,E5,QC,S629
7,E6,H46,S630
7,E7,H52,S631
7,E8,C17,S632
7,E9,C43,S633
7,E10,Y16,S634
7,E11,H15,S635
7,E12,C25,S636
7,F3,C4,S639
7,F5,M6,S641
7,F6,C29,S642
7,F7,Y10,S643
7,F8,M31,S644
7,F9,Y34,S645
7,F11,Y18,S647
7,G2,M9,S650
7,G3,M10,S651
7,G4,H26,S652
7,G6,H27,S654
7,G7,C14,S655
7,G8,Y12,S656
7,G9,C15,S657
7,G10,H37,S658
7,G11,Y26,S659
7,G12,C8,S660
7,H1,QC,S661
7,H3,C42,S663
7,H5,C18,S665
7,H6,C26,S666
7,H7,C37,S667
7,H8,M46,S668
7,H9,C49,S669
7,H10,Y39,S670
7,H12,M19,S672
8,A1,C30,S673
8,A2,C23,S674
8,A3,C47,S675
8,A4,C31,S676
8,A5,Y21,S677
8,A6,M2,S678
8,A7,M37,S679
8,A8,H18,S680
8,A9,C32,S681
8,A10,H21,S682
8,A11,QC,S683
8,B1,Y27,S685
8,B3,C48,S687
8,B5,C3,S689
8,B6,Y23,S690
8,B7,H24,S691
8,B8,C41,S692
8,B10,C9,S694
8,B11,Y5,S695
8,B12,M44,S696
8,C1,H42,S697
8,C2,M33,S698
8,C3,Y40,S699
8,C5,Y17,S701
8,C6,C19,S702
8,C9,Y49,S705
8,C10,M12,S706
8,D1,C7,S709
8,D3,Y48,S711
8,D4,M8,S712
8,D5,Y33,S713
8,D6,C50,S714
8,D7,M22,S715
8,D8,H34,S716
8,D9,M27,S717
8,D12,C33,S720
8,E1,QC,S721
8,E2,M28,S722
8,E3,H33,S723
8,E4,M39,S724
8,E7,Y20,S727
8,E8,M29,S728
8,E9,C5,S729
8,E11,C22,S731
8,E12,M41,S732
8,F1,Y9,S733
8,F2,Y32,S734
8,F4,Y8,S736
8,F5,C34,S737
8,F6,M5,S738
8,F8,M1,S740
8,F9,Y43,S741
8,F11,C45,S743
8,F12,M26,S744
8,G1,QC,S745
