MoleculeType	Identifier	MoleculeName
Proteins	P21217	UniProt:P21217 FUT3
Proteins	Q9H2A9	UniProt:Q9H2A9 CHST8
Proteins	P01229	UniProt:P01229 LHB
Proteins	P01215	UniProt:P01215 CGA
Proteins	O43529	UniProt:O43529 CHST10
Proteins	Q16706	UniProt:Q16706 MAN2A1
Proteins	P49641	UniProt:P49641 MAN2A2
Proteins	P04066	UniProt:P04066 FUCA1
Proteins	Q10469	UniProt:Q10469 MGAT2
Proteins	Q9BYC5	UniProt:Q9BYC5 FUT8
Proteins	P15907	UniProt:P15907 ST6GAL1
Proteins	Q9UM21	UniProt:Q9UM21 MGAT4A
Proteins	Q9UBM8	UniProt:Q9UBM8 MGAT4C
Proteins	Q9UQ53	UniProt:Q9UQ53 MGAT4B
Proteins	P15291	UniProt:P15291 B4GALT1
Proteins	Q9UBX8	UniProt:Q9UBX8 B4GALT6
Proteins	O60512	UniProt:O60512 B4GALT3
Proteins	O60513	UniProt:O60513 B4GALT4
Proteins	O43286	UniProt:O43286 B4GALT5
Proteins	O60909	UniProt:O60909 B4GALT2
Proteins	Q09328	UniProt:Q09328 MGAT5
Proteins	O43173	UniProt:O43173 ST8SIA3
Proteins	P61647	UniProt:P61647 ST8SIA6
Proteins	Q92186	UniProt:Q92186 ST8SIA2
Proteins	Q11206	UniProt:Q11206 ST3GAL4
Proteins	Q09327	UniProt:Q09327 MGAT3
Proteins	P49257	UniProt:P49257 LMAN1
Proteins	Q8NI22	UniProt:Q8NI22 MCFD2
Proteins	P46459	UniProt:P46459 NSF
Proteins	O14653	UniProt:O14653 GOSR2
Proteins	Q13190	UniProt:Q13190 STX5
Proteins	O95249	UniProt:O95249 GOSR1
Proteins	Q9NYM9	UniProt:Q9NYM9 BET1L
Proteins	O15155	UniProt:O15155 BET1
Proteins	O15498	UniProt:O15498 YKT6
Proteins	Q99747	UniProt:Q99747 NAPG
Proteins	Q9H115	UniProt:Q9H115 NAPB
Proteins	P54920	UniProt:P54920 NAPA
Proteins	Q01484	UniProt:Q01484 ANK2
Proteins	P16157	UniProt:P16157 ANK1
Proteins	Q12955	UniProt:Q12955 ANK3
Proteins	Q9Y3Q3	UniProt:Q9Y3Q3 TMED3
Proteins	Q15363	UniProt:Q15363 TMED2
Proteins	P49755	UniProt:P49755 TMED10
Proteins	Q9BVK6	UniProt:Q9BVK6 TMED9
Proteins	Q9Y3B3	UniProt:Q9Y3B3 TMED7
Proteins	Q01082	UniProt:Q01082 SPTBN1
Proteins	O15020	UniProt:O15020 SPTBN2
Proteins	P11277	UniProt:P11277 SPTB
Proteins	Q9NRC6	UniProt:Q9NRC6 SPTBN5
Proteins	Q9H254	UniProt:Q9H254 SPTBN4
Proteins	Q13813	UniProt:Q13813 SPTAN1
Proteins	P02549	UniProt:P02549 SPTA1
Proteins	O14579	UniProt:O14579 COPE
Proteins	P35606	UniProt:P35606 COPB2
Proteins	P53621	UniProt:P53621 COPA
Proteins	Q9P299	UniProt:Q9P299 COPZ2
Proteins	P61923	UniProt:P61923 COPZ1
Proteins	P53618	UniProt:P53618 COPB1
Proteins	Q9Y678	UniProt:Q9Y678 COPG1
Proteins	Q9UBF2	UniProt:Q9UBF2 COPG2
Proteins	P48444	UniProt:P48444 ARCN1
Proteins	P61204	UniProt:P61204 ARF3
Proteins	P84077	UniProt:P84077 ARF1
Proteins	P84085	UniProt:P84085 ARF5
Proteins	P18085	UniProt:P18085 ARF4
Proteins	P62820	UniProt:P62820 RAB1A
Proteins	Q9H0U4	UniProt:Q9H0U4 RAB1B
Proteins	Q92538	UniProt:Q92538 GBF1
Proteins	O60763	UniProt:O60763 USO1
Proteins	O43731	UniProt:O43731 KDELR3
Proteins	P33947	UniProt:P33947 KDELR2
Proteins	P01308	UniProt:P01308 INS
Proteins	P24390	UniProt:P24390 KDELR1
Proteins	P08174	UniProt:P08174 CD55
Proteins	P15328	UniProt:P15328 FOLR1
Proteins	P13987	UniProt:P13987 CD59
Proteins	Q8N6T3	UniProt:Q8N6T3 ARFGAP1
Proteins	Q9NP61	UniProt:Q9NP61 ARFGAP3
Proteins	Q8N6H7	UniProt:Q8N6H7 ARFGAP2
Proteins	Q9BQQ3	UniProt:Q9BQQ3 GORASP1
Proteins	Q08379	UniProt:Q08379 GOLGA2
Proteins	Q96JB2	UniProt:Q96JB2 COG3
Proteins	P83436	UniProt:P83436 COG7
Proteins	Q9UP83	UniProt:Q9UP83 COG5
Proteins	Q9Y2V7	UniProt:Q9Y2V7 COG6
Proteins	Q9H9E3	UniProt:Q9H9E3 COG4
Proteins	Q8WTW3	UniProt:Q8WTW3 COG1
Proteins	Q14746	UniProt:Q14746 COG2
Proteins	Q96MW5	UniProt:Q96MW5 COG8
Proteins	Q12893	UniProt:Q12893 TMEM115
Proteins	Q14789	UniProt:Q14789 GOLGB1
Proteins	Q9BUF5	UniProt:Q9BUF5 TUBB6
Proteins	Q13885	UniProt:Q13885 TUBB2A
Proteins	P68371	UniProt:P68371 TUBB4B
Proteins	Q9H4B7	UniProt:Q9H4B7 TUBB1
Proteins	Q13509	UniProt:Q13509 TUBB3
Proteins	Q9BVA1	UniProt:Q9BVA1 TUBB2B
Proteins	Q3ZCM7	UniProt:Q3ZCM7 TUBB8
Proteins	P04350	UniProt:P04350 TUBB4A
Proteins	A6NNZ2	UniProt:A6NNZ2 TUBB8B
Proteins	Q9NY65	UniProt:Q9NY65 TUBA8
Proteins	Q9H853	UniProt:Q9H853 TUBA4B
Proteins	A6NHL2	UniProt:A6NHL2 TUBAL3
Proteins	Q6PEY2	UniProt:Q6PEY2 TUBA3E
Proteins	P68363	UniProt:P68363 TUBA1B
Proteins	Q71U36	UniProt:Q71U36 TUBA1A
Proteins	Q9BQE3	UniProt:Q9BQE3 TUBA1C
Proteins	P0DPH7	UniProt:P0DPH7 TUBA3C
Proteins	P0DPH8	UniProt:P0DPH8 TUBA3C
Proteins	P68366	UniProt:P68366 TUBA4A
Proteins	Q13409	UniProt:Q13409 DYNC1I2
Proteins	O14576	UniProt:O14576 DYNC1I1
Proteins	Q14204	UniProt:Q14204 DYNC1H1
Proteins	Q9Y6G9	UniProt:Q9Y6G9 DYNC1LI1
Proteins	O43237	UniProt:O43237 DYNC1LI2
Proteins	P63167	UniProt:P63167 DYNLL1
Proteins	Q96FJ2	UniProt:Q96FJ2 DYNLL2
Proteins	Q9UJW0	UniProt:Q9UJW0 DCTN4
Proteins	O00399	UniProt:O00399 DCTN6
Proteins	Q9BTE1	UniProt:Q9BTE1 DCTN5
Proteins	Q9NZ32	UniProt:Q9NZ32 ACTR10
Proteins	P61163	UniProt:P61163 ACTR1A
Proteins	Q96KX2	UniProt:Q96KX2 CAPZA3
Proteins	P47756	UniProt:P47756 CAPZB
Proteins	P47755	UniProt:P47755 CAPZA2
Proteins	P52907	UniProt:P52907 CAPZA1
Proteins	Q13561	UniProt:Q13561 DCTN2
Proteins	O75935	UniProt:O75935 DCTN3
Proteins	Q14203	UniProt:Q14203 DCTN1
Proteins	P53992	UniProt:P53992 SEC24C
Proteins	Q9HCU5	UniProt:Q9HCU5 PREB
Proteins	Q96PC5	UniProt:Q96PC5 MIA2
Proteins	Q02388	UniProt:Q02388 COL7A1
Proteins	Q5JRA6	UniProt:Q5JRA6 MIA3
Proteins	Q15436	UniProt:Q15436 SEC23A
Proteins	O75396	UniProt:O75396 SEC22B
Proteins	O95487	UniProt:O95487 SEC24B
Proteins	O95486	UniProt:O95486 SEC24A
Proteins	P12259	UniProt:P12259 F5
Proteins	P00451	UniProt:P00451 F8
Proteins	Q9H0V9	UniProt:Q9H0V9 LMAN2L
Proteins	Q12907	UniProt:Q12907 LMAN2
Proteins	Q9HAT1	UniProt:Q9HAT1 LMAN1L
Proteins	P53634	UniProt:P53634 CTSC
Proteins	Q9UBR2	UniProt:Q9UBR2 CTSZ
Proteins	P01009	UniProt:P01009 SERPINA1
Proteins	O94855	UniProt:O94855 SEC24D
Proteins	P01135	UniProt:P01135 TGFA
Proteins	P15514	UniProt:P15514 AREG
Proteins	O95406	UniProt:O95406 CNIH1
Proteins	P42261	UniProt:P42261 GRIA1
Proteins	Q6PI25	UniProt:Q6PI25 CNIH2
Proteins	Q8TBE1	UniProt:Q8TBE1 CNIH3
Proteins	Q9Y6B6	UniProt:Q9Y6B6 SAR1B
Proteins	P48730	UniProt:P48730 CSNK1D
Proteins	Q9Y5R8	UniProt:Q9Y5R8 TRAPPC1
Proteins	P48553	UniProt:P48553 TRAPPC10
Proteins	Q86SZ2	UniProt:Q86SZ2 TRAPPC6B
Proteins	Q9Y296	UniProt:Q9Y296 TRAPPC4
Proteins	Q8IUR0	UniProt:Q8IUR0 TRAPPC5
Proteins	O75865	UniProt:O75865 TRAPPC6A
Proteins	O43617	UniProt:O43617 TRAPPC3
Proteins	Q9UL33	UniProt:Q9UL33 TRAPPC2L
Proteins	P0DI81	UniProt:P0DI81 TRAPPC2
Proteins	Q96Q05	UniProt:Q96Q05 TRAPPC9
Proteins	P55735	UniProt:P55735 SEC13
Proteins	Q9Y6Y8	UniProt:Q9Y6Y8 SEC23IP
Proteins	Q9NQW1	UniProt:Q9NQW1 SEC31B
Proteins	O94979	UniProt:O94979 SEC31A
Proteins	Q96IW7	UniProt:Q96IW7 SEC22A
Proteins	Q9BRL7	UniProt:Q9BRL7 SEC22C
Proteins	Q8WVM8	UniProt:Q8WVM8 SCFD1
Proteins	P56962	UniProt:P56962 STX17
Proteins	Q96BZ9	UniProt:Q96BZ9 TBC1D20
Proteins	Q92734	UniProt:Q92734 TFG
Proteins	Q96JE7	UniProt:Q96JE7 SEC16B
Proteins	O15027	UniProt:O15027 SEC16A
Proteins	O00743	UniProt:O00743 PPP6C
Proteins	O15084	UniProt:O15084 ANKRD28
Proteins	Q5H9R7	UniProt:Q5H9R7 PPP6R3
Proteins	Q9UPN7	UniProt:Q9UPN7 PPP6R1
Proteins	P33908	UniProt:P33908 MAN1A1
Proteins	O60476	UniProt:O60476 MAN1A2
Proteins	Q9NR34	UniProt:Q9NR34 MAN1C1
Proteins	Q5SRI9	UniProt:Q5SRI9 MANEA
Proteins	P26572	UniProt:P26572 MGAT1
Proteins	P07306	UniProt:P07306 ASGR1
Proteins	P07307	UniProt:P07307 ASGR2
Proteins	Q13454	UniProt:Q13454 TUSC3
Proteins	Q9H0U3	UniProt:Q9H0U3 MAGT1
Proteins	P61803	UniProt:P61803 DAD1
Proteins	P04843	UniProt:P04843 RPN1
Proteins	P39656	UniProt:P39656 DDOST
Proteins	P46977	UniProt:P46977 STT3A
Proteins	P04844	UniProt:P04844 RPN2
Proteins	Q9Y672	UniProt:Q9Y672 ALG6
Proteins	Q96F25	UniProt:Q96F25 ALG14
Proteins	Q9NP73	UniProt:Q9NP73 ALG13
Proteins	Q5I7T1	UniProt:Q5I7T1 ALG10B
Proteins	Q5BKT4	UniProt:Q5BKT4 ALG10
Proteins	Q9BV10	UniProt:Q9BV10 ALG12
Proteins	O75352	UniProt:O75352 MPDU1
Proteins	Q9H553	UniProt:Q9H553 ALG2
Proteins	Q9H6U8	UniProt:Q9H6U8 ALG9
Proteins	Q2TAA5	UniProt:Q2TAA5 ALG11
Proteins	Q13630	UniProt:Q13630 GFUS
Proteins	Q96A29	UniProt:Q96A29 SLC35C1
Proteins	Q8N0W3	UniProt:Q8N0W3 FCSK
Proteins	O60547	UniProt:O60547 GMDS
Proteins	A2VDF0	UniProt:A2VDF0 FUOM
Proteins	O14772	UniProt:O14772 FPGT
Proteins	P53602	UniProt:P53602 MVD
Proteins	Q9UPQ8	UniProt:Q9UPQ8 DOLK
Proteins	Q9H8P0	UniProt:Q9H8P0 SRD5A3
Proteins	Q96E22	UniProt:Q96E22 NUS1
Proteins	Q86SQ9	UniProt:Q86SQ9 DHDDS
Proteins	Q86YN1	UniProt:Q86YN1 DOLPP1
Proteins	Q96EK6	UniProt:Q96EK6 GNPNAT1
Proteins	Q06210	UniProt:Q06210 GFPT1
Proteins	O94808	UniProt:O94808 GFPT2
Proteins	P51606	UniProt:P51606 RENBP
Proteins	Q9Y303	UniProt:Q9Y303 AMDHD2
Proteins	Q16222	UniProt:Q16222 UAP1
Proteins	Q9UJ70	UniProt:Q9UJ70 NAGK
Proteins	O95394	UniProt:O95394 PGM3
Proteins	Q9BXD5	UniProt:Q9BXD5 NPL
Proteins	Q9UQ49	UniProt:Q9UQ49 NEU3
Proteins	Q9Y3R4	UniProt:Q9Y3R4 NEU2
Proteins	Q8WWR8	UniProt:Q8WWR8 NEU4
Proteins	P10619	UniProt:P10619 CTSA
Proteins	P16278	UniProt:P16278 GLB1
Proteins	Q9Y223	UniProt:Q9Y223 GNE
Proteins	Q99519	UniProt:Q99519 NEU1
Proteins	Q96JF0	UniProt:Q96JF0 ST6GAL2
Proteins	P78382	UniProt:P78382 SLC35A1
Proteins	Q9NRA2	UniProt:Q9NRA2 SLC17A5
Proteins	Q9NR45	UniProt:Q9NR45 NANS
Proteins	Q92187	UniProt:Q92187 ST8SIA4
Proteins	Q92185	UniProt:Q92185 ST8SIA1
Proteins	O15466	UniProt:O15466 ST8SIA5
Proteins	Q8NDV1	UniProt:Q8NDV1 ST6GALNAC3
Proteins	Q969X2	UniProt:Q969X2 ST6GALNAC6
Proteins	Q9BVH7	UniProt:Q9BVH7 ST6GALNAC5
Proteins	Q9H4F1	UniProt:Q9H4F1 ST6GALNAC4
Proteins	Q9UJ37	UniProt:Q9UJ37 ST6GALNAC2
Proteins	Q9NSC7	UniProt:Q9NSC7 ST6GALNAC1
Proteins	Q8NFW8	UniProt:Q8NFW8 CMAS
Proteins	Q9UNP4	UniProt:Q9UNP4 ST3GAL5
Proteins	Q16842	UniProt:Q16842 ST3GAL2
Proteins	Q11201	UniProt:Q11201 ST3GAL1
Proteins	Q9Y274	UniProt:Q9Y274 ST3GAL6
Proteins	Q11203	UniProt:Q11203 ST3GAL3
Proteins	Q8TBE9	UniProt:Q8TBE9 NANP
Proteins	O60762	UniProt:O60762 DPM1
Proteins	O94777	UniProt:O94777 DPM2
Proteins	Q9P2X0	UniProt:Q9P2X0 DPM3
Proteins	P19367	UniProt:P19367 HK1
Proteins	Q9Y5P6	UniProt:Q9Y5P6 GMPPB
Proteins	Q96IJ6	UniProt:Q96IJ6 GMPPA
Proteins	P34949	UniProt:P34949 MPI
Proteins	O15305	UniProt:O15305 PMM2
Proteins	Q92871	UniProt:Q92871 PMM1
Proteins	Q9Y673	UniProt:Q9Y673 ALG5
Proteins	O95848	UniProt:O95848 NUDT14
Proteins	Q9BT22	UniProt:Q9BT22 ALG1
Proteins	Q9BVK2	UniProt:Q9BVK2 ALG8
Proteins	Q92685	UniProt:Q92685 ALG3
Proteins	Q9H3H5	UniProt:Q9H3H5 DPAGT1
Proteins	Q96AA3	UniProt:Q96AA3 RFT1
Proteins	Q8NHY0	UniProt:Q8NHY0 B4GALNT2
Proteins	P07911	UniProt:P07911 UMOD
Proteins	Q14165	UniProt:Q14165 MLEC
Proteins	P14314	UniProt:P14314 PRKCSH
Proteins	Q14697	UniProt:Q14697 GANAB
Proteins	Q8NFI3	UniProt:Q8NFI3 ENGASE
Proteins	P0CG48	UniProt:P0CG48 UBC
Proteins	P0CG47	UniProt:P0CG47 UBB
Proteins	P62987	UniProt:P62987 UBA52
Proteins	P62979	UniProt:P62979 RPS27A
Proteins	Q9UKV5	UniProt:Q9UKV5 AMFR
Proteins	P62191	UniProt:P62191 PSMC1
Proteins	Q96IV0	UniProt:Q96IV0 NGLY1
Proteins	P54727	UniProt:P54727 RAD23B
Proteins	Q04323	UniProt:Q04323 UBXN1
Proteins	Q9BUN8	UniProt:Q9BUN8 DERL1
Proteins	P55072	UniProt:P55072 VCP
Proteins	Q13724	UniProt:Q13724 MOGS
Proteins	P27824	UniProt:P27824 CANX
Proteins	P27797	UniProt:P27797 CALR
Proteins	P30101	UniProt:P30101 PDIA3
Proteins	Q9BV94	UniProt:Q9BV94 EDEM2
Proteins	Q9UKM7	UniProt:Q9UKM7 MAN1B1
Proteins	Q9BZQ6	UniProt:Q9BZQ6 EDEM3
Proteins	Q92611	UniProt:Q92611 EDEM1
Proteins	Q9NYU1	UniProt:Q9NYU1 UGGT2
Proteins	Q9NYU2	UniProt:Q9NYU2 UGGT1
Proteins	Q9UBV2	UniProt:Q9UBV2 SEL1L
Proteins	Q13438	UniProt:Q13438 OS9
Proteins	Q86TM6	UniProt:Q86TM6 SYVN1
Proteins	Q99942	UniProt:Q99942 RNF5
Proteins	Q8WU17	UniProt:Q8WU17 RNF139
Proteins	O60858	UniProt:O60858 TRIM13
Proteins	O00237	UniProt:O00237 RNF103
Proteins	Q96GF1	UniProt:Q96GF1 RNF185
Proteins	O60337	UniProt:O60337 MARCHF6
Proteins	Q9GZP9	UniProt:Q9GZP9 DERL2